rank,team,n,output,time
1,ABOVE C,28,1091543000,4.807601599954068
2,Brave Sir Robin,15,609231000,4.808290928020142
3,"Dude, Where's My Char?",15,608932000,4.786938950885086
4,Array Bhai,12,489818000,0.019486855948343876
5,Friends of Cornchip ,12,489818000,0.6784320189617574
6,Expecto-Winno,12,489818000,0.7279095409903675
7,DynamicDuo,12,489818000,0.7419231499079615
8,No Braces,8,343903000,2.823046918027103
9,American.Py,5,215561000,0.02559197088703513
10,Ctrl Alt Elite,3,142148000,0.11133748502470553
11,No Pun Indented,2,76926000,0.003961825976148248
12,Wahahahahaha,2,76926000,0.003977246000431478
13,Variables,2,76926000,0.00419869995675981
14,Pretty Pandas,2,76926000,0.0043589991983026275
15,Python Newbies,2,76926000,0.004446597071364522
16,Sunrisers,1,15513000,0.0039204159984365106
17,Fully Developed,1,15513000,0.0043319850228726855
