rank,team,n,output,time
1,ABOVE C,1001,26,4.233628160087393
2,Brave Sir Robin,701,18,4.7927831548731765
3,Array Bhai,601,16,1.2727113190339878
4,No Braces,301,7,0.7388580490369351
5,"Dude, Where's My Char?",201,5,0.34758244710974395
6,Friends of Cornchip ,201,6,0.004716256982646882
7,DynamicDuo,201,6,0.00472763495054096
8,Variables,201,6,0.004878866951912642
9,Expecto-Winno,201,6,0.004880454973317683
10,Python Newbies,201,6,0.004970564041286707
11,Ctrl Alt Elite,201,6,0.005225438973866403
12,No Pun Indented,201,6,0.005275723058730364
13,Pretty Pandas,201,6,0.0053188230376690635
14,Wahahahahaha,201,6,0.015640101861208674
15,American.Py,101,3,0.01879285601899028
16,OZ,101,4,0.00415855902247131
17,Sunrisers,101,4,0.004433362977579236
18,Runtime Terror,101,4,0.004470651037991047
19,Fully Developed,101,4,0.0045236749574542046
20,robin_hood,101,4,0.004610841046087444
